Binary,Noise Type,Alpha,Delta,Best Test Error
False,s,20,0.0,23.02684294871795
True,s,20,0.0,16.155849358974358
False,s,20,0.2,26.412259615384613
True,s,20,0.2,17.117387820512818
False,s,20,0.4,25.671073717948715
True,s,20,0.4,21.023637820512818
False,s,20,0.6000000000000001,33.99439102564102
True,s,20,0.6000000000000001,25.701121794871796
False,s,20,0.8,41.8369391025641
True,s,20,0.8,33.05288461538461
False,s,20,1.0,49.20873397435898
True,s,20,1.0,44.98197115384615
